anio,posicion,seleccion_id
2022,1,5
2022,2,37
2022,3,24
2022,4,58
2022,5,115
2022,6,46
2022,7,10
2022,8,120
2022,9,55
2022,10,125
2022,11,6
2022,12,129
2022,13,35
2022,14,36
2022,15,119
2022,16,21
2022,17,1
2022,18,28
2022,19,14
2022,20,135
2022,21,133
2022,22,111
2022,23,12
2022,24,39
2022,25,3
2022,26,50
2022,27,22
2022,28,27
2022,29,126
2022,30,38
2022,31,15
2022,32,16
2018,1,37
2018,2,24
2018,3,12
2018,4,46
2018,5,135
2018,6,10
2018,7,128
2018,8,124
2018,9,19
2018,10,35
2018,11,27
2018,12,111
2018,13,120
2018,14,129
2018,15,55
2018,16,5
2018,17,125
2018,18,50
2018,19,21
2018,20,118
2018,21,112
2018,22,1
2018,23,126
2018,24,133
2018,25,119
2018,26,3
2018,27,58
2018,28,51
2018,29,22
2018,30,6
2018,31,29
2018,32,116
2014,1,1
2014,2,5
2014,3,115
2014,4,10
2014,5,19
2014,6,12
2014,7,37
2014,8,22
2014,9,17
2014,10,111
2014,11,129
2014,12,135
2014,13,40
2014,14,4
2014,15,36
2014,16,112
2014,17,28
2014,18,120
2014,19,24
2014,20,9
2014,21,23
2014,22,53
2014,23,35
2014,24,124
2014,25,39
2014,26,46
2014,27,21
2014,28,50
2014,29,55
2014,30,6
2014,31,42
2014,32,14
2010,1,35
2010,2,115
2010,3,1
2010,4,135
2010,5,5
2010,6,10
2010,7,39
2010,8,117
2010,9,55
2010,10,17
2010,11,120
2010,12,36
2010,13,46
2010,14,111
2010,15,21
2010,16,33
2010,17,23
2010,18,34
2010,19,129
2010,20,127
2010,21,6
2010,22,114
2010,23,126
2010,24,27
2010,25,40
2010,26,53
2010,27,112
2010,28,4
2010,29,37
2010,30,42
2010,31,14
2010,32,20
2006,1,53
2006,2,37
2006,3,1
2006,4,120
2006,5,10
2006,6,5
2006,7,46
2006,8,134
2006,9,35
2006,10,129
2006,11,115
2006,12,28
2006,13,39
2006,14,128
2006,15,111
2006,16,6
2006,17,21
2006,18,117
2006,19,23
2006,20,122
2006,21,119
2006,22,24
2006,23,2
2006,24,133
2006,25,36
2006,26,50
2006,27,131
2006,28,3
2006,29,55
2006,30,130
2006,31,22
2006,32,126
2002,1,10
2002,2,1
2002,3,132
2002,4,21
2002,5,35
2002,6,46
2002,7,125
2002,8,36
2002,9,55
2002,10,27
2002,11,111
2002,12,48
2002,13,128
2002,14,12
2002,15,53
2002,16,117
2002,17,127
2002,18,5
2002,19,22
2002,20,14
2002,21,120
2002,22,124
2002,23,24
2002,24,28
2002,25,119
2002,26,135
2002,27,112
2002,28,37
2002,29,133
2002,30,34
2002,31,18
2002,32,3
1998,1,37
1998,2,10
1998,3,24
1998,4,115
1998,5,53
1998,6,5
1998,7,1
1998,8,27
1998,9,46
1998,10,126
1998,11,123
1998,12,112
1998,13,111
1998,14,117
1998,15,113
1998,16,17
1998,17,35
1998,18,58
1998,19,12
1998,20,50
1998,21,19
1998,22,54
1998,23,7
1998,24,127
1998,25,14
1998,26,133
1998,27,32
1998,28,3
1998,29,11
1998,30,21
1998,31,55
1998,32,36
1994,1,10
1994,2,53
1994,3,128
1994,4,11
1994,5,1
1994,6,123
1994,7,115
1994,8,35
1994,9,112
1994,10,5
1994,11,12
1994,12,3
1994,13,111
1994,14,36
1994,15,129
1994,16,48
1994,17,113
1994,18,124
1994,19,19
1994,20,21
1994,21,8
1994,22,14
1994,23,58
1994,24,40
1990,1,1
1990,2,5
1990,3,53
1990,4,46
1990,5,137
1990,6,122
1990,7,14
1990,8,48
1990,9,10
1990,10,35
1990,11,12
1990,12,123
1990,13,22
1990,14,19
1990,15,115
1990,16,135
1990,17,124
1990,18,7
1990,18,32
1990,20,29
1990,21,128
1990,22,21
1990,23,36
1990,24,31
1986,1,5
1986,2,1
1986,3,37
1986,4,12
1986,5,10
1986,6,111
1986,7,35
1986,8,46
1986,9,27
1986,10,124
1986,11,58
1986,12,53
1986,13,117
1986,14,119
1986,15,11
1986,16,135
1986,17,120
1986,18,43
1986,19,32
1986,20,21
1986,21,49
1986,22,4
1986,23,47
1986,24,15
1982,1,53
1982,2,1
1982,3,119
1982,4,37
1982,5,10
1982,6,46
1982,7,124
1982,8,7
1982,9,49
1982,10,12
1982,11,5
1982,12,35
1982,13,4
1982,14,43
1982,15,32
1982,16,137
1982,17,14
1982,18,42
1982,19,122
1982,20,118
1982,21,57
1982,22,17
1982,23,114
1982,24,30
1978,1,5
1978,2,115
1978,3,10
1978,4,53
1978,5,119
1978,6,1
1978,7,7
1978,8,118
1978,9,133
1978,10,35
1978,11,32
1978,12,37
1978,13,128
1978,14,50
1978,15,43
1978,16,111
1974,1,1
1974,2,115
1974,3,119
1974,4,10
1974,5,128
1974,6,1
1974,7,137
1974,8,5
1974,9,32
1974,10,53
1974,11,17
1974,12,11
1974,13,135
1974,14,6
1974,15,41
1974,16,138
1970,1,10
1970,2,53
1970,3,1
1970,4,135
1970,5,124
1970,6,111
1970,7,118
1970,8,46
1970,9,128
1970,10,12
1970,10,123
1970,12,52
1970,13,11
1970,14,58
1970,15,122
1970,16,30
1966,1,46
1966,2,1
1966,3,120
1966,4,124
1966,5,5
1966,6,43
1966,7,135
1966,8,20
1966,9,53
1966,10,35
1966,11,10
1966,12,111
1966,13,17
1966,13,37
1966,15,11
1966,16,129
1962,1,10
1962,2,122
1962,3,17
1962,4,137
1962,5,43
1962,6,124
1962,7,1
1962,8,46
1962,9,53
1962,10,5
1962,11,111
1962,12,35
1962,13,135
1962,14,19
1962,15,11
1962,16,129
1958,1,10
1958,2,128
1958,3,37
1958,4,1
1958,5,38
1958,6,124
1958,7,49
1958,8,137
1958,9,122
1958,10,43
1958,11,46
1958,12,117
1958,13,5
1958,14,32
1958,15,7
1958,16,111
1954,1,1
1954,2,43
1954,3,7
1954,4,135
1954,5,129
1954,6,10
1954,7,46
1954,8,137
1954,9,37
1954,10,53
1954,11,132
1954,12,12
1954,13,111
1954,14,122
1954,15,32
1954,16,21
1950,1,135
1950,2,10
1950,3,128
1950,4,35
1950,5,137
1950,6,129
1950,7,53
1950,8,46
1950,9,17
1950,10,36
1950,11,117
1950,12,111
1950,13,8
1938,1,53
1938,2,43
1938,3,10
1938,4,128
1938,5,122
1938,6,129
1938,7,25
1938,8,37
1938,9,123
1938,10,1
1938,11,119
1938,12,113
1938,13,12
1938,14,115
1938,15,44
1938,16,7
1934,1,53
1934,2,122
1934,3,1
1934,4,7
1934,5,35
1934,6,43
1934,7,129
1934,8,128
1934,9,5
1934,9,37
1934,9,115
1934,12,123
1934,13,29
1934,14,10
1934,15,12
1934,16,36
1930,1,135
1930,2,5
1930,3,36
1930,4,137
1930,5,17
1930,6,10
1930,7,37
1930,8,123
1930,9,117
1930,10,118
1930,11,12
1930,12,8
1930,13,111
